******************************************
*** PROGRAM F2C.BAS CONVERTS TEMPERATURE
*** FROM FAHRENHEIT TO CELSIUS DEGREES
*** BATCH MODE
******************************************
VALUES ARE APROXIMATED TO CLOSEST INTEGER
NB DATES ARE IN US FORMAT: mm-dd-yyyy
LOG FORMAT: DATE|TIME|PROGRAM|MESSAGE
******************************************
02-09-2021|11:18:10|F2C.BAS|STARTING PROGRAM F2C.BAS
02-09-2021|11:18:10|F2C.BAS|READING TEMPERATURE IN FAHRENHEIT DEGREES
02-09-2021|11:18:10|F2C.BAS|READ F :  40 
02-09-2021|11:18:10|F2C.BAS|  40  FAHRENHEIT DEGREES =  4  CELSIUS DEGREES
02-09-2021|11:18:10|F2C.BAS|READING RUN AGAIN CONVERSION OPTION (YES/NO)
02-09-2021|11:18:10|F2C.BAS|STARTING PROGRAM F2C.BAS
02-09-2021|11:18:10|F2C.BAS|READING TEMPERATURE IN FAHRENHEIT DEGREES
02-09-2021|11:18:10|F2C.BAS|READ F :  77 
02-09-2021|11:18:10|F2C.BAS|  77  FAHRENHEIT DEGREES =  25  CELSIUS DEGREES
02-09-2021|11:18:10|F2C.BAS|READING RUN AGAIN CONVERSION OPTION (YES/NO)
02-09-2021|11:18:10|F2C.BAS|STARTING PROGRAM F2C.BAS
02-09-2021|11:18:10|F2C.BAS|READING TEMPERATURE IN FAHRENHEIT DEGREES
02-09-2021|11:18:10|F2C.BAS|READ F : -500 
02-09-2021|11:18:10|F2C.BAS|-500 : ILLEGAL INPUT
02-09-2021|11:18:10|F2C.BAS|READING RUN AGAIN CONVERSION OPTION (YES/NO)
02-09-2021|11:18:10|F2C.BAS|STARTING PROGRAM F2C.BAS
02-09-2021|11:18:10|F2C.BAS|READING TEMPERATURE IN FAHRENHEIT DEGREES
02-09-2021|11:18:10|F2C.BAS|READ F :  212 
02-09-2021|11:18:10|F2C.BAS|  212  FAHRENHEIT DEGREES =  100  CELSIUS DEGREES
02-09-2021|11:18:10|F2C.BAS|READING RUN AGAIN CONVERSION OPTION (YES/NO)
02-09-2021|11:18:10|F2C.BAS|STARTING PROGRAM F2C.BAS
02-09-2021|11:18:10|F2C.BAS|READING TEMPERATURE IN FAHRENHEIT DEGREES
02-09-2021|11:18:10|F2C.BAS|READ F :  0 
02-09-2021|11:18:10|F2C.BAS|  0  FAHRENHEIT DEGREES = -18  CELSIUS DEGREES
02-09-2021|11:18:10|F2C.BAS|READING RUN AGAIN CONVERSION OPTION (YES/NO)
02-09-2021|11:18:10|F2C.BAS|STARTING PROGRAM F2C.BAS
02-09-2021|11:18:10|F2C.BAS|READING TEMPERATURE IN FAHRENHEIT DEGREES
02-09-2021|11:18:10|F2C.BAS|READ F :  132.14 
02-09-2021|11:18:10|F2C.BAS|  132.14  FAHRENHEIT DEGREES =  56  CELSIUS DEGREES
02-09-2021|11:18:10|F2C.BAS|READING RUN AGAIN CONVERSION OPTION (YES/NO)
02-09-2021|11:18:10|F2C.BAS|STARTING PROGRAM F2C.BAS
02-09-2021|11:18:10|F2C.BAS|READING TEMPERATURE IN FAHRENHEIT DEGREES
02-09-2021|11:18:10|F2C.BAS|READ F : -5 
02-09-2021|11:18:10|F2C.BAS| -5  FAHRENHEIT DEGREES = -21  CELSIUS DEGREES
02-09-2021|11:18:10|F2C.BAS|READING RUN AGAIN CONVERSION OPTION (YES/NO)
02-09-2021|11:18:10|F2C.BAS|PROGRAM END HAS BEEN SELECTED
02-09-2021|11:18:10|F2C.BAS|TERMINATING PROGRAM.GOODBYE.

